,precision,recall,f1-score,support
0,0.9917695473251029,0.9974064672773425,0.9945800203593144,18122.0
1,0.9359223300970874,0.8669064748201439,0.900093370681606,556.0
2,0.9864575908766928,0.9564616447823082,0.9712280701754386,1447.0
3,0.8266666666666667,0.775,0.8,160.0
4,0.9892037786774629,0.9856566562079785,0.9874270318814549,2231.0
accuracy,0.988807958784864,0.988807958784864,0.988807958784864,0.988807958784864
macro avg,0.9460039827286026,0.9162862486175547,0.9306656986195628,22516.0
weighted avg,0.9886216460763083,0.988807958784864,0.9886546353136371,22516.0
