,precision,recall,f1-score,support
0,0.9497525201482288,0.8283234642679564,0.884891652079435,44246.0
1,0.05099422706863374,0.08655416439847577,0.06417759838546923,1837.0
2,0.4500314267756128,0.8894409937888199,0.5976627712854758,3220.0
3,0.07211538461538461,0.2706185567010309,0.113882863340564,388.0
4,0.8703931203931204,0.967896174863388,0.9165588615782665,1464.0
accuracy,0.8052976248656045,0.8052976248656045,0.8052976248656045,0.8052976248656045
macro avg,0.47865733580019604,0.6085666708039341,0.5154347493338421,51155.0
weighted avg,0.8770943972887768,0.8052976248656045,0.8323978718406168,51155.0
