,precision,recall,f1-score,support
0,0.9376772466365678,0.9340957374677937,0.9358830655661605,44246.0
1,0.25,0.004354926510615134,0.008560727661851257,1837.0
2,0.7424412094064949,0.8236024844720496,0.7809187279151943,3220.0
3,0.0035231943628890195,0.015463917525773196,0.005738880918220947,388.0
4,0.5753811405985318,0.6960382513661202,0.629984544049459,1464.0
accuracy,0.8799726321962662,0.8799726321962662,0.8799726321962662,0.8799726321962662
macro avg,0.5018045582008968,0.4947110634684703,0.47221718922217726,51155.0
weighted avg,0.8832392364034707,0.8799726321962662,0.8770186792674568,51155.0
