epoch,train_loss,train_acc,val_loss,val_acc
1,0.1519623778801465,0.9565753242138924,0.08706070111591623,0.9759282288150648
2,0.07091338097847975,0.9801252442707408,0.07464673483158898,0.9789483034286729
3,0.05407685588672691,0.9851661041037485,0.0534478681164316,0.9852549298276781
4,0.04261996074756523,0.988374933380707,0.04920366020741821,0.9865429028246581
5,0.03715369279012759,0.9897073192396518,0.0433904832650256,0.98858589447504
6,0.032652582441152024,0.991006395452123,0.05332180027260802,0.9861875999289395
7,0.029969684563565264,0.9912617694084207,0.0488436477108903,0.9860543613430449
8,0.025229501281033552,0.9923609877420501,0.04661629989817355,0.9866761414105525
9,0.023666233560250736,0.9927384970687511,0.04306208989921303,0.98858589447504
10,0.019685364265370764,0.9939820572037662,0.05190449167882799,0.9866317285485877
11,0.01867185540177652,0.9942596375910464,0.04968728734152866,0.987564398649849
12,0.01771684975288365,0.9942707408065375,0.046145463408331484,0.9884970687511103
13,0.01855368304031119,0.9940486764967135,0.05005471222896806,0.9878752886836027
14,0.014132269502500445,0.9954698880795878,0.05048710475898293,0.9878752886836027
15,0.013116888156672618,0.995691952389412,0.04754750391405203,0.9884082430271807
16,0.012025374328516731,0.9960472552851306,0.04975849552370236,0.9863208385148339
17,0.010056099761343617,0.9966468289216557,0.05329814206376648,0.98858589447504
18,0.010475200999989446,0.9965135903357613,0.060574794887998724,0.9870758571682359
19,0.00926737059828481,0.996713448214603,0.04840734518229231,0.9887635459228993
20,0.008275944699210159,0.9973019186356369,0.05828829168982845,0.9879641144075324
