name,accuracy,lower_ci,upper_ci
BaselineCNN,0.987964,0.9864541122888951,0.9893074128613232
ResCNN,0.988808,0.9873481271433624,0.9901011100659971
LiteECGCNN,0.965624,0.9631636856117566,0.9679254611010035
LiteECGDSCNN,0.968645,0.9662875032016802,0.9708426128602097
