model,dataset,metric,point_estimate,ci_lower,ci_upper,n
LiteECGCNN,inter-patient,Q_recall,0.6960382513661202,0.6719889279279028,0.7190614791515975,1464
LiteECGCNN,inter-patient,Q_precision,0.5753811405985318,0.5522217535219559,0.5982142184760219,1771
LiteECGDSCNN,inter-patient,overall_accuracy,0.8707457726517447,0.8678107283646062,0.873625139187864,51155
LiteECGDSCNN,inter-patient,N_recall,0.9314288297247209,0.9290363659847913,0.9337463862546442,44246
LiteECGDSCNN,inter-patient,N_precision,0.9306085582025516,0.9282042456530964,0.9329381717989663,44285
LiteECGDSCNN,inter-patient,S_recall,0.007076755579749592,0.00414037464455288,0.012070396075382765,1837
LiteECGDSCNN,inter-patient,S_precision,0.04710144927536232,0.027730006199251242,0.07890701229847882,276
LiteECGDSCNN,inter-patient,V_recall,0.7527950310559006,0.7375996102191266,0.7673880018564173,3220
LiteECGDSCNN,inter-patient,V_precision,0.7460757156048015,0.7308247471535118,0.7607454754480262,3249
LiteECGDSCNN,inter-patient,F_recall,0.07989690721649484,0.05685556290119755,0.11117530095597036,388
LiteECGDSCNN,inter-patient,F_precision,0.023343373493975902,0.01649334894680205,0.03294305985743714,1328
LiteECGDSCNN,inter-patient,Q_recall,0.5894808743169399,0.564079844838351,0.6144135465463685,1464
LiteECGDSCNN,inter-patient,Q_precision,0.42786316311353495,0.40642815358328366,0.44957242541818865,2017
ResCNN,inter-patient,overall_accuracy,0.8801485680774118,0.8773054685180496,0.882934577795473,51155
ResCNN,inter-patient,N_recall,0.9209194051439679,0.9183681773152791,0.9233975504707365,44246
ResCNN,inter-patient,N_precision,0.9454499048679753,0.9432658739684648,0.9475545341731076,43098
ResCNN,inter-patient,S_recall,0.11322808927599347,0.09953757274458258,0.12853283321512396,1837
ResCNN,inter-patient,S_precision,0.07810739767179872,0.06851259162763085,0.08891763634188352,2663
ResCNN,inter-patient,V_recall,0.8767080745341614,0.8649013636452818,0.8876170312535323,3220
ResCNN,inter-patient,V_precision,0.7157707910750507,0.7014894146307938,0.7296322547050421,3944
ResCNN,inter-patient,F_recall,0.04381443298969072,0.027532889163230656,0.0690405028779885,388
ResCNN,inter-patient,F_precision,0.14285714285714285,0.09114539833236043,0.21690580184045352,119
ResCNN,inter-patient,Q_recall,0.8394808743169399,0.8197922113227678,0.8573926399612448,1464
ResCNN,inter-patient,Q_precision,0.9233658903080391,0.9078253557825834,0.9364696670852876,1331
