,precision,recall,f1-score,support
0,0.9933967974467617,0.9961924732369496,0.9947926711668273,18122.0
1,0.9459459459459459,0.8812949640287769,0.9124767225325885,556.0
2,0.9729166666666667,0.9682100898410505,0.970557672324212,1447.0
3,0.8445945945945946,0.78125,0.8116883116883117,160.0
4,0.9883772910147519,0.9910354101299865,0.9897045658012533,2231.0
accuracy,0.9895185645763013,0.9895185645763013,0.9895185645763013,0.9895185645763013
macro avg,0.9490462591337442,0.9235965874473528,0.9358439887026385,22516.0
weighted avg,0.9893541480428085,0.9895185645763013,0.9893972203161853,22516.0
