epoch,train_loss,train_acc,val_loss,val_acc
1,0.43497513254197473,0.8823563021368986,0.4108628594424412,0.8997751930407585
2,0.2568382415059875,0.9311888165162077,0.4036770795407608,0.9045450102629264
3,0.2105161688623894,0.940273492553232,0.42730082563026195,0.8943602775877236
4,0.17893307167602912,0.9485011236811031,0.4602096012668862,0.877724562603851
5,0.15778315745883545,0.9549384832209652,0.48929922006657983,0.8745381683119929
6,0.14290612761653665,0.9602902525425666,0.4848209737977296,0.8819665721825823
7,0.13035798253197717,0.963489886870072,0.4576406165988401,0.8962369269866093
8,0.12030714421820714,0.9663276577914905,0.6070999122730053,0.8240250219919851
9,0.11255054307550752,0.9688987925189502,0.5169702731469427,0.8753005571302903
10,0.10696822884482111,0.9703843370281492,0.5856482876588343,0.8374352458215228
11,0.10278405088119515,0.9711652001675999,0.5596300076073932,0.8607565242889258
12,0.09753770651928298,0.9727078810040757,0.5307953246569569,0.8719773238197635
13,0.09407488831386282,0.9736601531253571,0.5498116527588361,0.8679112501221777
14,0.08944347335800228,0.9750695158648536,0.5084944791563876,0.87359984361255
15,0.08822044126460409,0.9751076067497048,0.473923286383289,0.8873032939106636
16,0.08385243063450395,0.9765169694892012,0.5732833931963356,0.8536408953181507
17,0.08162987731999942,0.9772026054165238,0.6586546999391147,0.829537679601212
18,0.07972655227840678,0.977297832628652,0.7841781281056426,0.7848108689277685
19,0.07764604646099961,0.9777930141317183,0.614852362500935,0.8365946632782719
20,0.07498147217095305,0.9781739229802309,0.5274631446415134,0.8707457726517447
