epoch,train_loss,train_acc,val_loss,val_acc
1,0.1515154231840678,0.9575968200390833,0.08899620082841544,0.9768164860543613
2,0.06784975289938441,0.9812022561733879,0.067485238654583,0.9807692307692307
3,0.04944348017997652,0.9865429028246581,0.051804616329253386,0.9864096642387635
4,0.04065202602573622,0.9883971398116894,0.046282387380768654,0.9869870314443062
5,0.03345036981397369,0.9902846864451945,0.06058398440948789,0.9839225439687334
6,0.02935771037506621,0.9916836915970865,0.05461405722603406,0.98352282821105
7,0.025672602477993207,0.99208340735477,0.0567340127499018,0.9841446082785574
8,0.02268391684550434,0.9931160063954522,0.04764778889830825,0.9877864629596731
9,0.01855275320836559,0.9943373600994848,0.05436359527776457,0.9851661041037485
10,0.017369601879348964,0.9947592822881507,0.04451832832094513,0.9884970687511103
11,0.01625411547614544,0.9946593533487298,0.045388669426111035,0.9885414816130752
12,0.013909523623177659,0.9955698170190087,0.04613207616964228,0.9880085272694973
13,0.011926622060073784,0.9961693906555339,0.04449252832861613,0.9891188488186179
14,0.011581161570847617,0.9961027713625866,0.048539840242863334,0.98858589447504
15,0.011237621114085146,0.9961138745780778,0.05215721599841058,0.9888523716468289
16,0.008954548823031228,0.9969799253863919,0.0597102475092993,0.9861431870669746
17,0.007993250775102477,0.9973241250666193,0.047829437431766667,0.9892965002664772
18,0.0090955207108221,0.9970132350328655,0.053368870684469036,0.9880085272694973
19,0.00807649343859237,0.9973574347130929,0.05511160442007675,0.9881861787173566
20,0.007132691677827186,0.997523982945461,0.058078309422139485,0.988807958784864
