epoch,train_loss,train_acc,val_loss,val_acc
1,0.46865564283479233,0.861487386747202,0.3150123372967829,0.9112631017942796
2,0.2680034483330439,0.9257416947948126,0.2707919011659871,0.9357790015988631
3,0.21817115063056533,0.940242494226328,0.2141617943977331,0.9337804228104459
4,0.19207526477367126,0.9469710428139989,0.2148281065894393,0.9369337360099484
5,0.17454924378434894,0.9513679161485166,0.1830068914112856,0.9479925386391899
6,0.1610834607224118,0.9549653579676675,0.15801955029688713,0.9568306981701901
7,0.15044133926892836,0.9582186001065909,0.15220064919612022,0.9552762480014212
8,0.1454707663443398,0.9591623734233434,0.14118814502797555,0.9602504885414817
9,0.13804300573351203,0.9612275715047077,0.13686383195680715,0.9603393142654113
10,0.13183157898050193,0.9635259371113875,0.1559048591429481,0.9566974595842956
11,0.12910005101081343,0.9639478593000533,0.13287247688790624,0.9662018120447682
12,0.12434612038790344,0.965546722330787,0.1301450368713837,0.9658465091490496
13,0.12178154943054577,0.9661796056137858,0.12734303508416484,0.9671788950079944
14,0.11795180349573188,0.9676341268431338,0.15481380241805398,0.9632261502931249
15,0.11340837006030784,0.968722241961272,0.11984777155132569,0.9684668680049743
16,0.11249384387657854,0.9684446615739918,0.1295259356085753,0.9643364718422455
17,0.11050219597190031,0.9698214602949013,0.1286377914317401,0.9663794634926275
18,0.10832454385538681,0.9698769763723575,0.11518856963789004,0.968022739385326
19,0.10630977264166852,0.9703877242849529,0.11327764714064914,0.9680671522472908
20,0.10341507084449288,0.9711538461538461,0.11649713097949248,0.9656244448392255
