model,dataset,input_length,num_classes,num_params,val_loss,val_acc,train_time_sec
baseline,MIT-BIH DS2 (inter-patient),200,5,446085,0.8489201045906704,0.8052976248656045,740.7081625461578
liteecgcnn,MIT-BIH DS2 (inter-patient),200,5,9477,0.45323817165778385,0.8799726321962662,301.6618628501892
liteecgdscnn,MIT-BIH DS2 (inter-patient),200,5,10325,0.5274631446415134,0.8707457726517447,978.3204898834229
rescnn,MIT-BIH DS2 (inter-patient),200,5,581541,0.5867112717856942,0.8801485680774118,4053.3639998435974
