,precision,recall,f1-score,support
0,0.9655061939342161,0.9977927381083765,0.9813839891451832,18122.0
1,0.9130434782608695,0.3776978417266187,0.5343511450381679,556.0
2,0.9475951184493898,0.912232204561161,0.9295774647887324,1447.0
3,0.9861111111111112,0.44375,0.6120689655172413,160.0
4,0.9837553750597229,0.9229045271178844,0.952358926919519,2231.0
accuracy,0.9656244448392255,0.9656244448392255,0.9656244448392255,0.9656244448392255
macro avg,0.9592022553630619,0.7308754623028082,0.8019480982817688,22516.0
weighted avg,0.9650142821247644,0.9656244448392255,0.9615154681080001,22516.0
