epoch,train_loss,train_acc,val_loss,val_acc
1,0.1688184379595909,0.9531863025178074,0.4031371462697298,0.8700811259896394
2,0.07981933213238834,0.9785548318287434,0.5107289584031868,0.8307692307692308
3,0.056774727559211015,0.9845731916352417,0.4845569298724347,0.8350698856416773
4,0.04451119445383234,0.987829962290024,0.45258295753679084,0.8941452448441013
5,0.036340645910505884,0.9892012341446692,0.47484360832663464,0.8717427426449027
6,0.03257351879197411,0.9902487334780787,0.702403818844102,0.776580979376405
7,0.029043600580983573,0.9913343236963394,0.5187198441605892,0.8604046525266348
8,0.02405492546180087,0.9928008227631128,0.4833650965851837,0.8771772065291761
9,0.02275146858872603,0.9930674589570716,0.4667365995115309,0.8719186785260483
10,0.019422825027799403,0.993505504132861,0.6345591575774996,0.8497703059329489
11,0.01787054516042381,0.994324458157163,0.48823488888571714,0.8814778614016225
12,0.016717381650117307,0.994629185235973,0.7134497805720288,0.8402111230573747
13,0.016284793025841453,0.9947434578905268,0.563849165774525,0.8854852898054931
14,0.01574217887824712,0.9944577762541423,0.6914068267024656,0.8053562701593198
15,0.013540884356848942,0.9956957300118082,0.7226658766005724,0.8158342293030985
16,0.011247491426539588,0.9962099569573001,0.7637061298897397,0.7873912618512364
17,0.01112007828688592,0.996267093284577,0.6603569337572929,0.8450982308669729
18,0.009590552538939211,0.9964575477088333,0.7801927478616877,0.819392043788486
19,0.011806803531136634,0.9960575934178951,0.8139176801381579,0.8245528296354218
20,0.00885964163058406,0.9969527292118996,0.8489201045906704,0.8052976248656045
