epoch,train_loss,train_acc,val_loss,val_acc
1,0.4013890297671452,0.8873578788417126,0.261573421619442,0.9324480369515011
2,0.2284696908033345,0.938577011902647,0.20239559003114066,0.944928051163617
3,0.18838671113991953,0.9475817196660152,0.1759164374745915,0.9488807958784864
4,0.1651340543371383,0.9533220820749689,0.1598155866414282,0.9531000177651447
5,0.15060242294449855,0.9568195949546989,0.14525806280685205,0.9585627997868182
6,0.14148660295861804,0.9600950435246047,0.14086533735045786,0.9598063599218334
7,0.13351088783063947,0.9619270740806538,0.14515959108398913,0.961405222952567
8,0.127283828148708,0.9641366139634038,0.1314115399105296,0.9628708473974062
9,0.12263706946991375,0.9657021673476639,0.12843893188569575,0.963448214602949
10,0.11793102271461767,0.9665238052940132,0.12929544673442078,0.9642920589802807
11,0.11370150262592825,0.9679450168768875,0.1300970798281883,0.965491206253331
12,0.11169367156119388,0.968511280866939,0.11906385834718136,0.9678450879374667
13,0.10740639945450124,0.9697215313554806,0.1236654897937662,0.9666459406644164
14,0.1040076317123673,0.9706430982412506,0.1179372714711646,0.9673565464558536
15,0.1028312089272091,0.9709872979214781,0.11759294386834653,0.9683780422810446
16,0.10161839263289664,0.9712759815242494,0.12293730960220103,0.9666459406644164
17,0.10007065560997623,0.9716534908509504,0.12483492943390921,0.9661573991828033
18,0.0978547707557424,0.9718200390833185,0.14154746288525993,0.9638035174986677
19,0.09624848492691077,0.9724085095043524,0.11038989806407128,0.9698880795878486
20,0.09482187518595506,0.972597264167703,0.11352851879540589,0.9698880795878486
