epoch,train_loss,train_acc,val_loss,val_acc,model
1,0.1688184379595909,0.9531863025178074,0.4031371462697298,0.8700811259896394,BaselineCNN
2,0.0798193321323883,0.9785548318287434,0.5107289584031868,0.8307692307692308,BaselineCNN
3,0.056774727559211,0.9845731916352416,0.4845569298724347,0.8350698856416773,BaselineCNN
4,0.0445111944538323,0.987829962290024,0.4525829575367908,0.8941452448441013,BaselineCNN
5,0.0363406459105058,0.9892012341446692,0.4748436083266346,0.8717427426449027,BaselineCNN
6,0.0325735187919741,0.9902487334780788,0.702403818844102,0.776580979376405,BaselineCNN
7,0.0290436005809835,0.9913343236963394,0.5187198441605892,0.8604046525266348,BaselineCNN
8,0.0240549254618008,0.9928008227631128,0.4833650965851837,0.8771772065291761,BaselineCNN
9,0.022751468588726,0.9930674589570716,0.4667365995115309,0.8719186785260483,BaselineCNN
10,0.0194228250277994,0.993505504132861,0.6345591575774996,0.8497703059329489,BaselineCNN
11,0.0178705451604238,0.994324458157163,0.4882348888857171,0.8814778614016225,BaselineCNN
12,0.0167173816501173,0.994629185235973,0.7134497805720288,0.8402111230573747,BaselineCNN
13,0.0162847930258414,0.9947434578905268,0.563849165774525,0.8854852898054931,BaselineCNN
14,0.0157421788782471,0.9944577762541424,0.6914068267024656,0.8053562701593198,BaselineCNN
15,0.0135408843568489,0.9956957300118082,0.7226658766005724,0.8158342293030985,BaselineCNN
16,0.0112474914265395,0.9962099569573,0.7637061298897397,0.7873912618512364,BaselineCNN
17,0.0111200782868859,0.996267093284577,0.6603569337572929,0.8450982308669729,BaselineCNN
18,0.0095905525389392,0.9964575477088332,0.7801927478616877,0.819392043788486,BaselineCNN
19,0.0118068035311366,0.9960575934178952,0.8139176801381579,0.8245528296354218,BaselineCNN
20,0.008859641630584,0.9969527292118996,0.8489201045906704,0.8052976248656045,BaselineCNN
1,0.5064172334882485,0.8679008113358473,0.4984736951764419,0.8656827289610008,LiteECGCNN
2,0.328708594453288,0.91153391993296,0.4276053279346996,0.8826312188446878,LiteECGCNN
3,0.2871192765023392,0.9212090046851787,0.3963095947211642,0.9109568957091192,LiteECGCNN
4,0.2546188483547607,0.927075000952272,0.4006236139088854,0.9041149447756818,LiteECGCNN
5,0.2278535403400649,0.9324839066011504,0.4011696779595251,0.9108396051216888,LiteECGCNN
6,0.2052231795621255,0.939302174989525,0.5880569258048823,0.8207213371126967,LiteECGCNN
7,0.1883279732119327,0.9455109892202797,0.4095263703228392,0.9069299188740104,LiteECGCNN
8,0.1751144944659979,0.9494914866872356,1.2903385787867296,0.6633173687811553,LiteECGCNN
9,0.1620060077031939,0.9533196206147868,0.4395743183507079,0.903821718307106,LiteECGCNN
10,0.1529211710939969,0.95735725440902,0.4119882648706424,0.8899423321278468,LiteECGCNN
11,0.1459864984380582,0.9593189349788596,0.5356507727540771,0.8508259212198221,LiteECGCNN
12,0.1413577607644583,0.9613567973184016,0.4583919351936324,0.8706284820643143,LiteECGCNN
13,0.1331990749734799,0.9634137051003696,0.5897335717582176,0.834757110741863,LiteECGCNN
14,0.1320295846971272,0.9631661143488364,0.5015046230354476,0.8685367999218063,LiteECGCNN
15,0.1244123540485227,0.9662133851369368,0.4589885223444612,0.87846740299091,LiteECGCNN
16,0.1214036975543074,0.9671466118157924,0.4662861463081923,0.871703645782426,LiteECGCNN
17,0.1162856772662046,0.9685750199977146,0.4895937290946561,0.91168018766494,LiteECGCNN
18,0.1135297731074206,0.9689940197310783,0.418310830417018,0.8946730524875379,LiteECGCNN
19,0.1114776167312345,0.969679655658401,0.4579555140841177,0.8810282474831395,LiteECGCNN
