,precision,recall,f1-score,support
0,0.9306085582025516,0.9314288297247209,0.9310185132891303,44246.0
1,0.04710144927536232,0.007076755579749592,0.012304779933743492,1837.0
2,0.7460757156048015,0.7527950310559006,0.7494203122584634,3220.0
3,0.023343373493975902,0.07989690721649484,0.03613053613053613,388.0
4,0.42786316311353495,0.5894808743169399,0.49583453030738295,1464.0
accuracy,0.8707457726517447,0.8707457726517447,0.8707457726517447,0.8707457726517447
macro avg,0.43499845193804526,0.4721356795787612,0.44494173438385126,51155.0
weighted avg,0.8659963704918439,0.8707457726517447,0.8673541750677364,51155.0
