,precision,recall,f1-score,support
0,0.9454499048679753,0.9209194051439679,0.9330234475178604,44246.0
1,0.07810739767179872,0.11322808927599347,0.09244444444444444,1837.0
2,0.7157707910750507,0.8767080745341614,0.788107202680067,3220.0
3,0.14285714285714285,0.04381443298969072,0.0670611439842209,388.0
4,0.9233658903080391,0.8394808743169399,0.8794275491949911,1464.0
accuracy,0.8801485680774118,0.8801485680774118,0.8801485680774118,0.8801485680774118
macro avg,0.5611102253560013,0.5588301752521507,0.5520127575643168,51155.0
weighted avg,0.8931263407763215,0.8801485680774118,0.8856139722771352,51155.0
