epoch,train_loss,train_acc,val_loss,val_acc
1,0.5064172334882485,0.8679008113358473,0.4984736951764419,0.8656827289610008
2,0.32870859445328804,0.9115339199329601,0.42760532793469963,0.8826312188446878
3,0.2871192765023392,0.9212090046851789,0.3963095947211642,0.9109568957091193
4,0.2546188483547607,0.9270750009522721,0.40062361390888546,0.9041149447756818
5,0.22785354034006494,0.9324839066011503,0.40116967795952513,0.9108396051216889
6,0.20522317956212552,0.939302174989525,0.5880569258048823,0.8207213371126967
7,0.18832797321193273,0.9455109892202795,0.4095263703228392,0.9069299188740103
8,0.1751144944659979,0.9494914866872357,1.2903385787867296,0.6633173687811553
9,0.16200600770319393,0.9533196206147869,0.4395743183507079,0.9038217183071059
10,0.15292117109399694,0.95735725440902,0.41198826487064244,0.8899423321278468
11,0.14598649843805828,0.9593189349788596,0.5356507727540771,0.8508259212198221
12,0.14135776076445838,0.9613567973184017,0.45839193519363247,0.8706284820643143
13,0.13319907497347994,0.9634137051003695,0.5897335717582176,0.834757110741863
14,0.1320295846971272,0.9631661143488364,0.5015046230354476,0.8685367999218063
15,0.12441235404852272,0.9662133851369368,0.4589885223444612,0.87846740299091
16,0.12140369755430744,0.9671466118157925,0.4662861463081923,0.871703645782426
17,0.11628567726620469,0.9685750199977146,0.48959372909465615,0.9116801876649399
18,0.11352977310742068,0.9689940197310783,0.41831083041701805,0.8946730524875379
19,0.11147761673123452,0.969679655658401,0.4579555140841177,0.8810282474831395
20,0.10840157474372467,0.9702319734887441,0.45323817165778385,0.8799726321962662
